REACTOR,23.137,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPCS,CH4,C2H6,C3H8,n-C4H10,H2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW,16,30,44,58,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,79.0272,2122.1312,690.8608,243.9808,0,,203,472,474,499,568,599,651,628,625,659,712,695,704,723,777,800,764,778,793,789,450,354,204,,1.76,1.76,1.74,1.7181,1.6937,1.6718,1.6596,1.6474,1.6365,1.6255,1.6133,1.6012,1.5902,1.5792,1.5711,1.563,1.5548,1.5476,1.5403,1.533,1.5265,1.5222,1.517
15,79.0272,2122.1312,690.8608,243.9808,0,,209,476,476,500,568,597,661,641,639,673,734,717,732,746,808,826,796,813,826,823,459,369,209,,1.81,1.81,1.7891,1.7663,1.7408,1.718,1.7053,1.6925,1.6811,1.6697,1.6569,1.6442,1.6328,1.6214,1.6129,1.6044,1.5959,1.5883,1.5807,1.5731,1.5664,1.5619,1.5564
16,79.0272,2122.1312,690.8608,243.9808,0,,210,474,475,498,569,598,667,649,647,681,753,737,756,766,826,843,815,833,844,842,462,383,254,,1.81,1.81,1.7908,1.7699,1.7466,1.7257,1.714,1.7023,1.6918,1.6814,1.6697,1.6581,1.6476,1.6371,1.6293,1.6215,1.6138,1.6068,1.5998,1.5929,1.5867,1.5825,1.5776
17,354.9165,0,2762.2848,450.1554,0,,208,489,479,499,532,549,599,567,551,599,668,667,679,693,758,796,770,785,797,789,463,377,274,,1.83,1.83,1.8117,1.7917,1.7695,1.7495,1.7383,1.7272,1.7172,1.7072,1.6961,1.685,1.6749,1.665,1.6575,1.6501,1.6427,1.636,1.6294,1.6227,1.6168,1.6129,1.6081
18,354.9165,0,2762.2848,450.1554,0,,214,492,480,498,534,550,599,568,551,599,682,684,698,710,783,819,797,814,825,819,462,399,281,,1.82,1.82,1.8,1.7781,1.7537,1.7318,1.7196,1.7074,1.6965,1.6855,1.6733,1.6612,1.6502,1.6392,1.6311,1.623,1.6148,1.6076,1.6003,1.593,1.5865,1.5822,1.577
19,354.9165,0,2762.2848,450.1554,0,,216,493,480,497,533,549,599,566,549,597,695,699,716,725,803,837,820,839,850,847,467,407,288,,1.84,1.84,1.82,1.7981,1.7737,1.7518,1.7396,1.7274,1.7165,1.7055,1.6933,1.6812,1.6702,1.6592,1.6511,1.643,1.6348,1.6276,1.6203,1.613,1.6065,1.6022,1.597
20,333.042,0,2075.802,411.156,0,,258,512,486,498,568,597,650,630,630,661,711,698,715,724,768,798,766,782,794,785,446,351,230,,1.83,1.83,1.8135,1.7954,1.7752,1.7572,1.7471,1.737,1.728,1.7189,1.7088,1.6988,1.6897,1.6807,1.674,1.6672,1.6605,1.6545,1.6485,1.6425,1.6371,1.6336,1.6293
21,333.042,0,2075.802,411.156,0,,268,517,488,498,570,598,666,650,654,682,750,740,766,767,819,846,822,840,853,849,465,385,242,,1.81,1.81,1.7935,1.7754,1.7552,1.7372,1.7271,1.717,1.708,1.6989,1.6888,1.6788,1.6697,1.6607,1.654,1.6472,1.6405,1.6345,1.6285,1.6225,1.6171,1.6136,1.6093
22,333.042,0,2075.802,411.156,0,,272,519,489,497,571,599,659,639,641,671,732,720,741,747,795,823,797,813,825,819,451,372,237,,1.83,1.83,1.8135,1.7954,1.7752,1.7572,1.7471,1.737,1.728,1.7189,1.7088,1.6988,1.6897,1.6807,1.674,1.6672,1.6605,1.6545,1.6485,1.6425,1.6371,1.6336,1.6293
23,333.042,0,2075.802,411.156,0,,295,584,626,636,669,670,701,675,680,706,730,721,738,740,770,798,767,780,793,784,436,359,229,,1.84,1.84,1.8226,1.8036,1.7823,1.7633,1.7527,1.7421,1.7326,1.7231,1.7125,1.7019,1.6923,1.6828,1.6757,1.6687,1.6616,1.6553,1.6489,1.6426,1.637,1.6332,1.6287
24,333.042,0,2075.802,411.156,0,,304,596,635,644,689,687,724,700,708,731,765,760,781,777,803,830,800,812,826,820,453,368,235,,1.86,1.86,1.8417,1.8217,1.7995,1.7795,1.7683,1.7572,1.7472,1.7372,1.7261,1.715,1.7049,1.695,1.6875,1.6801,1.6727,1.666,1.6594,1.6527,1.6468,1.6429,1.6381
25,333.042,0,2075.802,411.156,0,,318,607,642,649,700,698,737,715,724,746,782,780,800,797,826,852,825,837,851,846,469,374,228,,1.86,1.86,1.8417,1.8217,1.7995,1.7795,1.7683,1.7572,1.7472,1.7372,1.7261,1.715,1.7049,1.695,1.6875,1.6801,1.6727,1.666,1.6594,1.6527,1.6468,1.6429,1.6381
